SHG Name,Upazila,Union,Respective FS
R0023_Goujaghuna Bonolota,Ukhiya,Palongkhali,Mahfuja Akter
R0031_Gujogona Sornolata,Ukhiya,Palongkhali,Mahfuja Akter
R0040_Goujaghuna Beliful,Ukhiya,Palongkhali,Mahfuja Akter
R0055_Saelia para Sohagi,Ukhiya,Palongkhali,Mahfuja Akter
R0060_Balokali dhokkin para Suchuna,Ukhiya,Palongkhali,Mahfuja Akter
R0067_Shailla para Moyna,Ukhiya,Palongkhali,Mahfuja Akter
R0069_Balukhali chora Alanker,Ukhiya,Palongkhali,Mahfuja Akter
R0070_Banor bapar khil Kamona,Ukhiya,Palongkhali,Mahfuja Akter
R0081_Balokali dhokkin para Alor Dishari,Ukhiya,Palongkhali,Mahfuja Akter
R0086_Banor bapar khil Mitali,Ukhiya,Palongkhali,Mahfuja Akter
G155_Jumerchoda Doyel SHG,Ukhiya,Palongkhali,Masudur Rahman
G156_Jumerchora Shalik SHG,Ukhiya,Palongkhali,Masudur Rahman
G157_Jumerchoda Kobutor SHG,Ukhiya,Palongkhali,Masudur Rahman
G159_Ukiyarghat Bulbul SHG,Ukhiya,Palongkhali,Masudur Rahman
G160_Ukiyarghat Choroi SHG,Ukhiya,Palongkhali,Masudur Rahman
G162_Poschimpara Ghughu SHG,Ukhiya,Palongkhali,Masudur Rahman
R0054_Moddhom parA Arttabissas,Ukhiya,Palongkhali,Masudur Rahman
R0056_Custom Amm,Ukhiya,Palongkhali,Masudur Rahman
R0076_Uttatpara Ashar Alo,Ukhiya,Palongkhali,Masudur Rahman
R0077_Uttar para Shalik,Ukhiya,Palongkhali,Masudur Rahman
R0082_Dhamon khali Kornofuly,Ukhiya,Palongkhali,Masudur Rahman
R0088_Ghonar para Kathal,Ukhiya,Palongkhali,Masudur Rahman
R0089_Pocchim para Lichu,Ukhiya,Palongkhali,Masudur Rahman
R0090_Dalar mok Moynar gona Bosonta,Ukhiya,Palongkhali,Masudur Rahman
R0093_Balukhali Chara Bosundhara,Ukhiya,Palongkhali,Masudur Rahman
R0104_Customs Apel SHG,Ukhiya,Palongkhali,Masudur Rahman
R0107_Dhamon kali Gondhuraj,Ukhiya,Palongkhali,Masudur Rahman
R0119_Pochim Para Dalim,Ukhiya,Palongkhali,Masudur Rahman
R0128_Balukhali Hindupara Komola SHG,Ukhiya,Palongkhali,Masudur Rahman
R0445_Uttor para Dishari,Ukhiya,Palongkhali,Masudur Rahman
G130_Pochim Para Moyna SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G131_Gorjon Buniya Moyur SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G132_Garjon Buniya Bulbuli SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G133_Chakma Para Kobutor SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G134_Bodtoli Para Kattokra SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G135_Bagguna Para Tuntuni SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G136_Shikdar Para Eagle SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G137_Chepot Khali Purbo Para Koyel SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G138_Chepot Khati Purbo Para Gugu SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G139_Chepot Khali Chakma Para Babui SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G140_Chepot Khali Choroi SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G141_Chepot Khali Kokil SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G142_Madar bonia Salik SHG,Ukhiya,Jalia Palong,Minhar Yesmin
G143_Chakma Para Tiya SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0347_Cakma para Baguni SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0352_Chakma Para Kokil SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0360_Ghunar para Sabuj Aronno SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0365_Cakma para Shobuj Tiya,Ukhiya,Jalia Palong,Minhar Yesmin
R0388_Gorjon boinna Rupali Pahar SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0392_Shikdar Para Sonali Sakal SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R0401_Jumpara Golapi SHG,Ukhiya,Jalia Palong,Minhar Yesmin
R1274_Cakma para Holudia Moyma,Ukhiya,Jalia Palong,Minhar Yesmin
G377_Uttarpara Doyel SHG,Ukhiya,Palongkhali,Mokter Ahmed
G378_Purbopara Moyna SHG,Ukhiya,Palongkhali,Mokter Ahmed
G379_Koborstan para Tia SHG,Ukhiya,Palongkhali,Mokter Ahmed
G380_Anjuman para Shalik SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0044_Korachi Para Pahari Ful SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0075_Bottoli Champarani SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0079_Bakkol Gona Shahajadi SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0099_Farir Bil Projapoti SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0101_Ghonarpara Santona SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0111_Bakkol Gona Moushumi SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0115_Bakkolgona Rajonigondha SHG,Ukhiya,Palongkhali,Mokter Ahmed
R0123_Ghonarpara Banarasi SHG,Ukhiya,Palongkhali,Mokter Ahmed
R3000_Bakkolgona Paira SHG,Ukhiya,Palongkhali,Mokter Ahmed
R3001_Anjumanpara Puspa SHG,Ukhiya,Palongkhali,Mokter Ahmed
R3002_Paglamarket Mayabi SHG,Ukhiya,Palongkhali,Mokter Ahmed
R3003_Aajumanpara Purnima,Ukhiya,Palongkhali,Mokter Ahmed
R3006_Purbofarirbill Kodam SHG,Ukhiya,Palongkhali,Mokter Ahmed
G181_Konar para Kathal SHG,Ukhiya,Raja Palong,Rabiul Islam
G186_Sikdarbill possim para Jumrol SHG,Ukhiya,Raja Palong,Rabiul Islam
G187_Sikdarbill possim para Jumbora SHG,Ukhiya,Raja Palong,Rabiul Islam
G188_Mulvita ParaTetol SHG,Ukhiya,Raja Palong,Rabiul Islam
G195_Mowlobi Para Khejor SHG,Ukhiya,Raja Palong,Rabiul Islam
G196_Possim Sikdarbill Batabi lebo SHG,Ukhiya,Raja Palong,Rabiul Islam
G197_Purbo Dosori Bulbuli SHG,Ukhiya,Raja Palong,Rabiul Islam
G198_Poccim Dosori Choroi SHG,Ukhiya,Raja Palong,Rabiul Islam
G204_Dokkhin Horinmara Tiya SHG,Ukhiya,Raja Palong,Rabiul Islam
G206_Harasia Moyna SHG,Ukhiya,Raja Palong,Rabiul Islam
R0135_Hagir para Shopnochura,Ukhiya,Raja Palong,Rabiul Islam
R0196_Porba para Joba SHG,Ukhiya,Raja Palong,Rabiul Islam
R0208_Purbapara Surjamokhi SHG,Ukhiya,Raja Palong,Rabiul Islam
R0212_Malvita Shapla SHG,Ukhiya,Raja Palong,Rabiul Islam
R0213_Malvita Golap SHG,Ukhiya,Raja Palong,Rabiul Islam
R0219_Khoirati Bely SHG,Ukhiya,Raja Palong,Rabiul Islam
R0224_Jamtoli Shapla SHG,Ukhiya,Raja Palong,Rabiul Islam
R0236_Khoirati Sheuli SHG,Ukhiya,Raja Palong,Rabiul Islam
R0237_West Horin Mara Joba SHG,Ukhiya,Raja Palong,Rabiul Islam
R0244_Horin Mara Surjjomukhi SHG,Ukhiya,Raja Palong,Rabiul Islam
R0245_Handu para Golap SHG,Ukhiya,Raja Palong,Rabiul Islam
R0246_Purbodigholia Golap SHG,Ukhiya,Raja Palong,Rabiul Islam
G200_Khorati Masranga SHG,Ukhiya,Raja Palong,Ranu Borman
G201_Horinmara Kokil SHG,Ukhiya,Raja Palong,Ranu Borman
G202_Poshim Horinmara Doyal SHG,Ukhiya,Raja Palong,Ranu Borman
G203_Baganpaher Moyur SHG,Ukhiya,Raja Palong,Ranu Borman
G205_Dokkhin Horinmara Babui SHG,Ukhiya,Raja Palong,Ranu Borman
R0149_Maskaria Kobutor,Ukhiya,Raja Palong,Ranu Borman
R0157_Maskaia Shapla,Ukhiya,Raja Palong,Ranu Borman
R0158_Maskaria Jamuna,Ukhiya,Raja Palong,Ranu Borman
R0160_Maskaria Surjomukhi,Ukhiya,Raja Palong,Ranu Borman
R0194_Pinjirkul Gondhoraj SHG,Ukhiya,Raja Palong,Ranu Borman
R0205_Alimora Dolonchapa SHG,Ukhiya,Raja Palong,Ranu Borman
R0207_Kasiar Bill Jui SHG,Ukhiya,Raja Palong,Ranu Borman
R0214_Amin Para Rojonigondha SHG,Ukhiya,Raja Palong,Ranu Borman
R0216_Dakkin Pokuria Krisnachura SHG,Ukhiya,Raja Palong,Ranu Borman
R0217_Horin Mara Golap SHG,Ukhiya,Raja Palong,Ranu Borman
R0218_Pinjirkul Bokul SHG,Ukhiya,Raja Palong,Ranu Borman
R0220_Dakkin Pokuria Gondharaj SHG,Ukhiya,Raja Palong,Ranu Borman
R0232_Zadimura Golap 1 SHG,Ukhiya,Raja Palong,Ranu Borman
R0239_Pinjirkul Polash SHG,Ukhiya,Raja Palong,Ranu Borman
R0240_Uttor Pukuria Dalia SHG,Ukhiya,Raja Palong,Ranu Borman
R0248_Este pokoriya Joba SHG,Ukhiya,Raja Palong,Ranu Borman
R1242_Amin para Champa SHG,Ukhiya,Raja Palong,Ranu Borman
G168_Taznimarkhola Tia SHG,Ukhiya,Palongkhali,Rehena Akter
R0005_Gonerpara Akota,Ukhiya,Palongkhali,Rehena Akter
R0011_Ghonarpara Bonoful SHG,Ukhiya,Palongkhali,Rehena Akter
R0017_Hakim Para Kodomful,Ukhiya,Palongkhali,Rehena Akter
R0046_Ghonaroara Doel,Ukhiya,Palongkhali,Rehena Akter
R0064_Goyalmara Palki SHG,Ukhiya,Palongkhali,Rehena Akter
R0083_Goyalmara Songram SHG,Ukhiya,Palongkhali,Rehena Akter
R0091_Konarpara Rongdhuno,Ukhiya,Palongkhali,Rehena Akter
R0097_Gonar Para Asroy SHG,Ukhiya,Palongkhali,Rehena Akter
R0105_Purbo F/Office Matamuhuri,Ukhiya,Palongkhali,Rehena Akter
R0109_Gonar para Satata,Ukhiya,Palongkhali,Rehena Akter
R0116_Palongkhali Momota SHG,Ukhiya,Palongkhali,Rehena Akter
R0124_Goyalmara Padda SHG,Ukhiya,Palongkhali,Rehena Akter
R0125_Palongkhali Boishakhi SHG,Ukhiya,Palongkhali,Rehena Akter
R1007_Ghonar para Hoimonti,Ukhiya,Palongkhali,Rehena Akter
R2004_Baghgonapara Koyel SHG,Ukhiya,Palongkhali,Rehena Akter
R2006_Goyalmara Nothonkuri SHG,Ukhiya,Palongkhali,Rehena Akter
R5000_Yakub Mostofapara Shefali SHG,Ukhiya,Palongkhali,Rehena Akter
G065_Moulovi Para Shapla SHG,Ukhiya,Holdiya Palong,Ruhul Kader
G342_Uttar Modhughona Chompa SHG,Ukhiya,Holdiya Palong,Ruhul Kader
G351_Moulovipara Chameli SHG,Ukhiya,Holdiya Palong,Ruhul Kader
G356_Paglirbill Joba SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0002_halokia Masranga-1 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0279_Rezurbil Moyna SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0281_Paglirbil Shalik SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0283_Bottaoli Masranga-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0284_Langor bil Tiya SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0288_Bariza para Eagle-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0297_Gunar Para Holdia Pakhi SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0305_Bow bazar Kokil-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0307_BawBazar Eagle-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0317_Sikderpara Babui Pakhi,Ukhiya,Holdiya Palong,Ruhul Kader
R0330_GorameGaras Bulbuly-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R0529_Pochim Morechia Tiya SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R2468_Mahjan Para Doel-3 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
R4916_Malbe para Tia-2 SHG,Ukhiya,Holdiya Palong,Ruhul Kader
G038_Asmot Ali Para kodom SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G039_Konar para kobori SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G048_Possim Borobill Modobilota SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G049_Possim Borobill Jarul SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G052_Mohajon Para Bokul SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G053_Napit Para Porag SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G054_Napit Para Kashful SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G055_Barua Para Krishnochura SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G057_Poschim Napit Para Chameli SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G061_Jonab Ali Para Noyontara SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G074_Barua Para Golap SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G081_Purbo Chy Para Champa SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G082_Pochim Chy Para Shapla SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G346_Guraier Dip Rojonigondha SHG,Ukhiya,Holdiya Palong,Golam Mostofa
G347_Dhalermukh Shurjomukhi SHG,Ukhiya,Holdiya Palong,Golam Mostofa
R0277_Chouduaripara Moyur SHG,Ukhiya,Holdiya Palong,Golam Mostofa
R7777_Chouduarypara Charui SHG,Ukhiya,Holdiya Palong,Golam Mostofa
R8642_Choudarypara Tuntuni SHG,Ukhiya,Holdiya Palong,Golam Mostofa
R0043_Konarpara Tajmohol SHG,Ukhiya,Palongkhali,Shumon Adhikary
R0049_Baditola Dolonchapa SHG,Ukhiya,Palongkhali,Shumon Adhikary
R0052_Chowkhali Bokul,Ukhiya,Palongkhali,Shumon Adhikary
R0053_Farir Bil Korotoya SHG,Ukhiya,Palongkhali,Shumon Adhikary
R0066_Pochim palong khali Anarkoli,Ukhiya,Palongkhali,Shumon Adhikary
R0094_Farir Bil Udayan SHG,Ukhiya,Palongkhali,Shumon Adhikary
R0114_Buchargona Gonga SHG,Ukhiya,Palongkhali,Shumon Adhikary
R0120_Konarpara Jolpai SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2007_Awliabad Kolmilota SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2008_Awliabad Sobujshathi SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2009_Farirbill Sadinata SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2010_Nolbonia Simanta SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2011_Nolbonia Duranta SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2012_Bocharghona Bijoymala SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2013_Baditola Meghana SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2014_Baditola Nillsagor SHG,Ukhiya,Palongkhali,Shumon Adhikary
R2015_Baditola Tia SHG,Ukhiya,Palongkhali,Shumon Adhikary
G118_Char Mowa Salik SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G119_Dui Mowa Doyel SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G120_Badamtoli Babui SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G125_Moddom Nidaniya Tuntuni SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G126_Dokkin Nidaniya Macranga SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G127_Poschim Nidaniya Egal SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G128_Moddom Nidaniya Chatak SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G129_Moddom Nidaniya Kakatuya SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0409_Norar Dail Sabuj SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0411_Moddom Nidania Lal SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0415_Badam Tali Nil SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0417_Dhakkin Niedania Komola SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0418_Dockin nidania Nil SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0419_Villager Para Kalo SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0420_Dokkhin Dailpara Kalo SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0427_Villager Para Shada SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0431_Moddom Nidania Holud SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0435_Dhokkin nida niya Sonali SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0436_Dhakkin Niedania Rupali SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0439_Norar Dail Akashi SHG,Ukhiya,Jalia Palong,Tashbid Rahman
R0440_Moddom Nidania Golapi SHG,Ukhiya,Jalia Palong,Tashbid Rahman
G066_Molovi Para Golap SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G072_Digir Para kolaboti SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G073_Digir Para Hasnahena SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G367_Patabari Lambabill Golap SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G368_Patabari Baluchara Joba SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G370_Patabari Dalia SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G371_Patabari Konerpara Beli SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G374_Moddho Holdia Nolbonia Shurjomukhi SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G376_Nolbonia Bakul SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0287_Nalbunia Choroi SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0302_Pata Bari Choroy SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0303_Gati Para Tuntuni SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0312_Patabari Doyel SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0316_Kaoua sodi Kokil-2 SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R0318_Konar Para Tota SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
R1863_Molive Para Masranga SHG,Ukhiya,Holdiya Palong,Trisha Chowdhury
G190_Peyazi Para Amra SHG,Ukhiya,Raja Palong,Zahangir Hossen
G191_Kutopalong Porbo Para Peyara SHG,Ukhiya,Raja Palong,Zahangir Hossen
G192_Kotopalong Sornopahar Pepe SHG,Ukhiya,Raja Palong,Zahangir Hossen
G339_Moddom Sikderbill dalim SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0154_Tai palong Rojonigonda,Ukhiya,Raja Palong,Zahangir Hossen
R0155_W. Thai palang Shewly SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0156_Purbo tai Palong Jamrul,Ukhiya,Raja Palong,Zahangir Hossen
R0159_W. Thai palang Golap SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0161_Dailpara Mousumi SHGl,Ukhiya,Raja Palong,Zahangir Hossen
R0165_W. Thai palang Surjerhasi SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0169_PF para Akashi,Ukhiya,Raja Palong,Zahangir Hossen
R0170_Kotupalong Rupali,Ukhiya,Raja Palong,Zahangir Hossen
R0171_Hajimpara Chandrima,Ukhiya,Raja Palong,Zahangir Hossen
R0180_Piok Para Boishakhi,Ukhiya,Raja Palong,Zahangir Hossen
R0184_Tai palong Doli,Ukhiya,Raja Palong,Zahangir Hossen
R0187_Piok Para Paharika,Ukhiya,Raja Palong,Zahangir Hossen
R0188_Piok Para Jonaki,Ukhiya,Raja Palong,Zahangir Hossen
R0221_Purbo digilia Shapla SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0222_Purbo digilia Kodom SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0225_Purbo digilia Bely SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0230_Purbo digilia Joba SHG,Ukhiya,Raja Palong,Zahangir Hossen
R0233_Purbo digilia Rojonigondha SHG,Ukhiya,Raja Palong,Zahangir Hossen

R0241_Purbo digilia Sheuli SHG,Ukhiya,Raja Palong,Zahangir Hossen

